alias,source_url,canonical
Dacre Haddon,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1371,Dacre Berrangé Haddon
Boshigo,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/565,Dalitha Fiki Boshigo
Dan Plato,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1372,Daniel Plato
Zukiswa Daphne Rantho,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1064,Daphne Zukiswa Rantho
David Douglas Van Rooyen,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/989,David Douglas Des Van Rooyen
David Maynier,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/767,David John Maynier
D.D. Dlamini,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1880,Dorah Dunana Dlamini
Debbie Schäfer,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/916,Deborah Anne Schäfer
Schafer,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/916,Deborah Anne Schäfer
Debbie Schafer,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/916,Deborah Anne Schäfer
Deborah Komose,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1373,Deborah Nomalinde Komose
Derek Andre Hanekom,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/652,Derek André Hanekom
Desbo Mohono,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1369,Sebonta Francinah Desbo Mohono
DESBO MOHONO,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1369,Sebonta Francinah Desbo Mohono
Kohler-Banard,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/681,Dianne Kohler
Dianne Kohler-Barnard,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/681,Dianne Kohler
Dikeledi Mahlangu,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/983,Dikeledi Rebecca Tsotetsi
Diratsagae Papi Kganare,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/673,Diratsagae Alfred Kganare
D.N. Khuzwayo,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1881,Dumisani Nicholas Khuzwayo
Donald Grant,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1375,Donald Arthur Cardross Grant
Dlakudla,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/602,Dorries Eunice Dlakude
Magome Masike,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1370,Magome Albanos Masike
DR. MAGOME MASIKE,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1370,Magome Albanos Masike
